,iter_idx,sample_num,unq_num,actual_unq_num,repetition_num,next_rep_sample_num,sampling_time,max_amp,min_amp,sampled_prob,eval_amps_time,ipr,renorm_ipr,candidate_x_primes_num,sampled_unq_x_primes_num,sampled_x_primes_num,sampled_coupled_yz_num,non_sampled_unq_x_primes_num,non_sampled_x_primes_num,non_sampled_coupled_yz_num,candidates_time,filter_candidates_time,find_a_in_b_time,find_sampled_and_coupled_time,sampled_matrix_elements_time,sampled_scatter_time,non_sampled_matrix_elements_time,non_sampled_scatter_time,eval_non_sampled_amps_time,full_energy,sample_aware_energy,hf_proj_energy_real,hf_proj_energy_imag,full_hf_proj_energy_real,full_hf_proj_energy_imag,eval_loss_time,backward_time,sr_unq_num,sr_sampled_prob,sr_max_amp,sr_min_amp,sr_time,proc_grad_time,iter_time
10,10,(1.0000000000000004+0j),10000,10000,1,10000,0.06357383728027344,(0.06799306508665656-0.04709438057537727j),(3.984305019336056e-05+1.988754105222673e-05j),0.05609915589270307,0.05204463005065918,5.220900007584977e-05,0.016589478056510717,,,34014,4838092,,,,,,,0.16460013389587402,0.05287885665893555,0.0006787776947021484,,,,,-73.78807664082578,-88.87438117313162,0.2496901902844783,,,0.27097201347351074,0.05682373046875,50,0.01959335685981759,(0.06799306508665656-0.04709438057537727j),(-0.009158712612253825+0.007348339432042754j),0.11915969848632812,0.12017655372619629,0.5221335887908936
11,11,(0.9999999999999998+0j),10000,10000,1,10000,0.06508398056030273,(0.0863361144100045-0.06505503914855724j),(1.1655837186440424e-05-4.9145651775960376e-05j),0.07162178219407489,0.05156421661376953,0.00014609299858715796,0.028479945643422575,,,36437,4861700,,,,,,,0.17810535430908203,0.06512069702148438,0.0006287097930908203,,,,,-76.0187998966513,-87.98027881497008,0.23531712337627272,,,0.2961733341217041,0.05970883369445801,50,0.02835883541554632,(0.0863361144100045-0.06505503914855724j),(-0.012183380166918901+0.003989031266491244j),0.1296381950378418,0.13084673881530762,0.5629305839538574
12,12,(1.0000000000000004+0j),10000,10000,1,10000,0.07153916358947754,(0.10876934692677516-0.08676075812674718j),(9.224957470999312e-06+3.384736620092861e-05j),0.09110945267725522,0.05685162544250488,0.0003919269218269458,0.04721480726406097,,,39087,4880678,,,,,,,0.1741499900817871,0.06599545478820801,0.0006420612335205078,,,,,-78.18027600790512,-88.76600314255454,0.1968497607788243,,,0.29840707778930664,0.06066107749938965,50,0.04177462575208825,(0.10876934692677516-0.08676075812674718j),(0.009615609006634999-0.01091114641806059j),0.12282299995422363,0.12396025657653809,0.5651893615722656
13,13,(0.9999999999999998+0j),10000,10000,1,10000,0.06569337844848633,(0.137278778273812-0.1104092372624748j),(-1.1215727598873174e-05-4.814124759652596e-05j),0.1165276993389173,0.054755449295043945,0.0009931716537031668,0.07314185518270756,,,40890,4897274,,,,,,,0.1773514747619629,0.0631093978881836,0.0007555484771728516,,,,,-79.7984000477739,-88.8600659082499,0.16874629064843438,,,0.29674863815307617,0.05802750587463379,50,0.060051468164802356,(0.137278778273812-0.1104092372624748j),(-0.009792352201439676+0.01266452742049068j),0.1278400421142578,0.12888240814208984,0.5600080490112305
14,14,(0.9999999999999998+0j),10000,10000,1,10000,0.07518863677978516,(0.17491865265525014-0.13217111116254587j),(-3.5770130650936594e-05+4.1433752349538044e-05j),0.1522816936207898,0.06055617332458496,0.002360612012348778,0.10179564917301111,,,44972,4930774,,,,,,,0.17338204383850098,0.06544709205627441,0.0007653236389160156,,,,,-80.99291849668063,-88.88205343563601,0.1521893695155418,,,0.3009464740753174,0.06407809257507324,50,0.08482013841853031,(0.17491865265525014-0.13217111116254587j),(0.015430279952267416-0.0077526314286887835j),0.12317848205566406,0.12423419952392578,0.5842502117156982
15,15,(0.9999999999999996+0j),10000,10000,1,10000,0.06584525108337402,(0.22762142714966946-0.14169288303018318j),(2.693247227562216e-06+3.680110789673048e-05j),0.1921459831884334,0.05299997329711914,0.005247273695304081,0.14212520281574484,,,46948,4949562,,,,,,,0.16580462455749512,0.058852434158325195,0.0008127689361572266,,,,,-82.18190994682692,-88.2089388834387,0.1655233261219372,,,0.2792384624481201,0.055379390716552734,50,0.1170914015929831,(0.22762142714966946-0.14169288303018318j),(-0.01041041251775798+0.015166007134291058j),0.12216043472290039,0.12319612503051758,0.5342161655426025
16,16,(0.9999999999999998+0j),10000,10000,1,10000,0.06554245948791504,(0.295460782110251-0.12846315462727673j),(5.673117422870823e-06-3.2144097288458915e-05j),0.23888293354111972,0.054460763931274414,0.010890990415393391,0.1908521815413062,,,50877,4982650,,,,,,,0.16109418869018555,0.06473326683044434,0.0008635520935058594,,,,,-83.07505071390956,-88.2131289122575,0.21326899958218473,,,0.2819349765777588,0.0589601993560791,50,0.15750320756885317,(0.295460782110251-0.12846315462727673j),(0.014612539981449681-0.012911822655200118j),0.12817597389221191,0.1292247772216797,0.5464694499969482
17,17,(1+0j),10000,10000,1,10000,0.06659317016601562,(0.3677168910841062-0.09805720715303469j),(8.284856702971417e-06-2.2810175532423026e-05j),0.2924201834057863,0.05359959602355957,0.02113570684682606,0.24717360189212711,,,52423,4993222,,,,,,,0.17509889602661133,0.07336926460266113,0.0008761882781982422,,,,,-83.77449433995862,-88.8836258144639,-0.013758999851996865,,,0.3037533760070801,0.05527663230895996,50,0.20637384013129256,(0.3677168910841062-0.09805720715303469j),(-0.0019446521305467785-0.019957275984791717j),0.12285542488098145,0.12497138977050781,0.5613763332366943
18,18,(0.9999999999999998+0j),10000,10000,1,10000,0.06524968147277832,(0.4376075346946918-0.06187446027183237j),(3.228393886522586e-05+4.8431973012352565e-06j),0.35257073170973197,0.05314469337463379,0.038356337591982564,0.30856354721015683,,,53523,5002908,,,,,,,0.17163705825805664,0.06718587875366211,0.0009906291961669922,,,,,-84.30638308380647,-88.37641483657106,0.08860789559038806,,,0.29380297660827637,0.05757761001586914,50,0.263354031923676,(0.4376075346946918-0.06187446027183237j),(0.00934794510508446+0.01874226430395787j),0.12785840034484863,0.12891244888305664,0.5563127994537354
19,19,(1.0000000000000004+0j),10000,10000,1,10000,0.06613922119140625,(0.5009487774686526-0.06176245943232779j),(-2.68613278784361e-05+1.63575364519472e-05j),0.4220305191514889,0.05589771270751953,0.06514441857682671,0.36575434668899554,,,60925,5059652,,,,,,,0.16054391860961914,0.06923699378967285,0.0009741783142089844,,,,,-84.7702960464799,-88.94436344131928,-0.023907077317112616,,,0.2874436378479004,0.06833386421203613,50,0.3272715484177994,(0.5009487774686526-0.06176245943232779j),(-0.007132816770481251-0.01993757257447734j),0.13630151748657227,0.13753986358642578,0.5705814361572266
